"","Comptes","Duree_credit","Historique_credit","Objet_credit","Montant_credit","Epargne","Anciennete_emploi","Taux_effort","Situation_familiale","Garanties","Anciennete_domicile","Biens","Age","Autres_credits","Statut_domicile","Nb_credits","Type_emploi","Nb_pers_charge","Telephone","Cible","Cle"
"1","1",6,"A34","A43",1169,"0","5",4,"A93","A101",4,"A121",67,"A143","A152",2,"A173","1","A192","0",1
"2","2",48,"A32","A43",5951,"1","3",2,"A92","A101",2,"A121",22,"A143","A152",1,"A173","1","A191","1",2
"3","4",12,"A34","A46",2096,"1","4",2,"A93","A101",3,"A121",49,"A143","A152",1,"A172","2","A191","0",3
"4","1",42,"A32","A42",7882,"1","4",2,"A93","A103",4,"A122",45,"A143","A153",1,"A173","2","A191","0",4
"5","1",24,"A33","A40",4870,"1","3",3,"A93","A101",4,"A124",53,"A143","A153",2,"A173","2","A191","1",5
"6","4",36,"A32","A46",9055,"0","3",2,"A93","A101",4,"A124",35,"A143","A153",1,"A172","2","A192","0",6
"7","4",24,"A32","A42",2835,"3","5",3,"A93","A101",4,"A122",53,"A143","A152",1,"A173","1","A191","0",7
"8","2",36,"A32","A41",6948,"1","3",2,"A93","A101",2,"A123",35,"A143","A151",1,"A174","1","A192","0",8
"9","4",12,"A32","A43",3059,"4","4",2,"A91","A101",4,"A121",61,"A143","A152",1,"A172","1","A191","0",9
"10","2",30,"A34","A40",5234,"1","1",4,"A94","A101",2,"A123",28,"A143","A152",2,"A174","1","A191","1",10
"11","2",12,"A32","A40",1295,"1","2",3,"A92","A101",1,"A123",25,"A143","A151",1,"A173","1","A191","1",11
"12","1",48,"A32","A49",4308,"1","2",3,"A92","A101",4,"A122",24,"A143","A151",1,"A173","1","A191","1",12
"13","2",12,"A32","A43",1567,"1","3",1,"A92","A101",1,"A123",22,"A143","A152",1,"A173","1","A192","0",13
"14","1",24,"A34","A40",1199,"1","5",4,"A93","A101",4,"A123",60,"A143","A152",2,"A172","1","A191","1",14
"15","1",15,"A32","A40",1403,"1","3",2,"A92","A101",4,"A123",28,"A143","A151",1,"A173","1","A191","0",15
"16","1",24,"A32","A43",1282,"2","3",4,"A92","A101",2,"A123",32,"A143","A152",1,"A172","1","A191","1",16
"17","4",24,"A34","A43",2424,"0","5",4,"A93","A101",4,"A122",53,"A143","A152",2,"A173","1","A191","0",17
"18","1",30,"A30","A49",8072,"0","2",2,"A93","A101",3,"A123",25,"A141","A152",3,"A173","1","A191","0",18
"19","2",24,"A32","A41",12579,"1","5",4,"A92","A101",2,"A124",44,"A143","A153",1,"A174","1","A192","1",19
"20","4",24,"A32","A43",3430,"3","5",3,"A93","A101",2,"A123",31,"A143","A152",1,"A173","2","A192","0",20
"21","4",9,"A34","A40",2134,"1","3",4,"A93","A101",4,"A123",48,"A143","A152",3,"A173","1","A192","0",21
"22","1",6,"A32","A43",2647,"3","3",2,"A93","A101",3,"A121",44,"A143","A151",1,"A173","2","A191","0",22
"23","1",10,"A34","A40",2241,"1","2",1,"A93","A101",3,"A121",48,"A143","A151",2,"A172","2","A191","0",23
"24","2",12,"A34","A41",1804,"2","2",3,"A93","A101",4,"A122",44,"A143","A152",1,"A173","1","A191","0",24
"25","4",10,"A34","A42",2069,"0","3",2,"A94","A101",1,"A123",26,"A143","A152",2,"A173","1","A191","0",25
"26","1",6,"A32","A42",1374,"1","3",1,"A93","A101",2,"A121",36,"A141","A152",1,"A172","1","A192","0",26
"27","4",6,"A30","A43",426,"1","5",4,"A94","A101",4,"A123",39,"A143","A152",1,"A172","1","A191","0",27
"28","3",12,"A31","A43",409,"4","3",3,"A92","A101",3,"A121",42,"A143","A151",2,"A173","1","A191","0",28
"29","2",7,"A32","A43",2415,"1","3",3,"A93","A103",2,"A121",34,"A143","A152",1,"A173","1","A191","0",29
"30","1",60,"A33","A49",6836,"1","5",3,"A93","A101",4,"A124",63,"A143","A152",2,"A173","1","A192","1",30
"31","2",18,"A32","A49",1913,"4","2",3,"A94","A101",3,"A121",36,"A141","A152",1,"A173","1","A192","0",31
"32","1",24,"A32","A42",4020,"1","3",2,"A93","A101",2,"A123",27,"A142","A152",1,"A173","1","A191","0",32
"33","2",18,"A32","A40",5866,"2","3",2,"A93","A101",2,"A123",30,"A143","A152",2,"A173","1","A192","0",33
"34","4",12,"A34","A49",1264,"0","5",4,"A93","A101",4,"A124",57,"A143","A151",1,"A172","1","A191","0",34
"35","3",12,"A32","A42",1474,"1","2",4,"A92","A101",1,"A122",33,"A141","A152",1,"A174","1","A192","0",35
"36","2",45,"A34","A43",4746,"1","2",4,"A93","A101",2,"A122",25,"A143","A152",2,"A172","1","A191","1",36
"37","4",48,"A34","A46",6110,"1","3",1,"A93","A101",3,"A124",31,"A141","A153",1,"A173","1","A192","0",37
"38","3",18,"A32","A43",2100,"1","3",4,"A93","A102",2,"A121",37,"A142","A152",1,"A173","1","A191","1",38
"39","3",10,"A32","A44",1225,"1","3",2,"A93","A101",2,"A123",37,"A143","A152",1,"A173","1","A192","0",39
"40","2",9,"A32","A43",458,"1","3",4,"A93","A101",3,"A121",24,"A143","A152",1,"A173","1","A191","0",40
"41","4",30,"A32","A43",2333,"3","5",4,"A93","A101",2,"A123",30,"A141","A152",1,"A174","1","A191","0",41
"42","2",12,"A32","A43",1158,"3","3",3,"A91","A101",1,"A123",26,"A143","A152",1,"A173","1","A192","0",42
"43","2",18,"A33","A45",6204,"1","3",2,"A93","A101",4,"A121",44,"A143","A152",1,"A172","2","A192","0",43
"44","1",30,"A34","A41",6187,"2","4",1,"A94","A101",4,"A123",24,"A143","A151",2,"A173","1","A191","0",44
"45","1",48,"A34","A41",6143,"1","5",4,"A92","A101",4,"A124",58,"A142","A153",2,"A172","1","A191","1",45
"46","4",11,"A34","A40",1393,"1","2",4,"A92","A101",4,"A123",35,"A143","A152",2,"A174","1","A191","0",46
"47","4",36,"A32","A43",2299,"3","5",4,"A93","A101",4,"A123",39,"A143","A152",1,"A173","1","A191","0",47
"48","1",6,"A32","A41",1352,"3","1",1,"A92","A101",2,"A122",23,"A143","A151",1,"A171","1","A192","0",48
"49","4",11,"A34","A40",7228,"1","3",1,"A93","A101",4,"A122",39,"A143","A152",2,"A172","1","A191","0",49
"50","4",12,"A32","A43",2073,"2","3",4,"A92","A102",2,"A121",28,"A143","A152",1,"A173","1","A191","0",50
"51","2",24,"A33","A42",2333,"0","2",4,"A93","A101",2,"A122",29,"A141","A152",1,"A172","1","A191","0",51
"52","2",27,"A33","A41",5965,"1","5",1,"A93","A101",2,"A123",30,"A143","A152",2,"A174","1","A192","0",52
"53","4",12,"A32","A43",1262,"1","3",3,"A93","A101",2,"A123",25,"A143","A152",1,"A173","1","A191","0",53
"54","4",18,"A32","A41",3378,"0","3",2,"A93","A101",1,"A122",31,"A143","A152",1,"A173","1","A192","0",54
"55","2",36,"A33","A40",2225,"1","5",4,"A93","A101",4,"A124",57,"A141","A153",2,"A173","1","A192","1",55
"56","4",6,"A31","A40",783,"0","3",1,"A93","A103",2,"A121",26,"A142","A152",1,"A172","2","A191","0",56
"57","2",12,"A32","A43",6468,"0","1",2,"A93","A101",1,"A124",52,"A143","A152",1,"A174","1","A192","1",57
"58","4",36,"A34","A43",9566,"1","3",2,"A92","A101",2,"A123",31,"A142","A152",2,"A173","1","A191","0",58
"59","3",18,"A32","A40",1961,"1","5",3,"A92","A101",2,"A123",23,"A143","A152",1,"A174","1","A191","0",59
"60","1",36,"A34","A42",6229,"1","2",4,"A92","A102",4,"A124",23,"A143","A151",2,"A172","1","A192","1",60
"61","2",9,"A32","A49",1391,"1","3",2,"A94","A101",1,"A121",27,"A141","A152",1,"A173","1","A192","0",61
"62","2",15,"A34","A43",1537,"0","5",4,"A93","A103",4,"A121",50,"A143","A152",2,"A173","1","A192","0",62
"63","2",36,"A30","A49",1953,"1","5",4,"A93","A101",4,"A124",61,"A143","A153",1,"A174","1","A192","1",63
"64","2",48,"A30","A49",14421,"1","3",2,"A93","A101",2,"A123",25,"A143","A152",1,"A173","1","A192","1",64
"65","4",24,"A32","A43",3181,"1","2",4,"A92","A101",4,"A122",26,"A143","A152",1,"A173","1","A192","0",65
"66","4",27,"A32","A45",5190,"0","5",4,"A93","A101",4,"A122",48,"A143","A152",4,"A173","2","A192","0",66
"67","4",12,"A32","A43",2171,"1","2",2,"A92","A101",2,"A123",29,"A141","A152",1,"A173","1","A191","0",67
"68","2",12,"A32","A40",1007,"4","3",4,"A94","A101",1,"A121",22,"A143","A152",1,"A173","1","A191","0",68
"69","4",36,"A32","A46",1819,"1","3",4,"A93","A101",4,"A124",37,"A142","A153",1,"A173","1","A192","1",69
"70","4",36,"A32","A43",2394,"0","3",4,"A92","A101",4,"A123",25,"A143","A152",1,"A173","1","A191","0",70
"71","4",36,"A32","A41",8133,"1","3",1,"A92","A101",2,"A122",30,"A141","A152",1,"A173","1","A191","0",71
"72","4",7,"A34","A43",730,"0","5",4,"A93","A101",2,"A122",46,"A143","A151",2,"A172","1","A192","0",72
"73","1",8,"A34","A410",1164,"1","5",3,"A93","A101",4,"A124",51,"A141","A153",2,"A174","2","A192","0",73
"74","2",42,"A34","A49",5954,"1","4",2,"A92","A101",1,"A121",41,"A141","A152",2,"A172","1","A191","0",74
"75","1",36,"A32","A46",1977,"0","5",4,"A93","A101",4,"A124",40,"A143","A152",1,"A174","1","A192","1",75
"76","1",12,"A34","A41",1526,"1","5",4,"A93","A101",4,"A124",66,"A143","A153",2,"A174","1","A191","0",76
"77","1",42,"A32","A43",3965,"1","2",4,"A93","A101",3,"A123",34,"A143","A152",1,"A173","1","A191","1",77
"78","2",11,"A33","A43",4771,"1","4",2,"A93","A101",4,"A122",51,"A143","A152",1,"A173","1","A191","0",78
"79","4",54,"A30","A41",9436,"0","3",2,"A93","A101",2,"A122",39,"A143","A152",1,"A172","2","A191","0",79
"80","2",30,"A32","A42",3832,"1","2",2,"A94","A101",1,"A122",22,"A143","A152",1,"A173","1","A191","0",80
"81","4",24,"A32","A43",5943,"0","2",1,"A92","A101",1,"A123",44,"A143","A152",2,"A173","1","A192","1",81
"82","4",15,"A32","A43",1213,"3","5",4,"A93","A101",3,"A122",47,"A142","A152",1,"A173","1","A192","0",82
"83","4",18,"A32","A49",1568,"2","3",3,"A92","A101",4,"A122",24,"A143","A151",1,"A172","1","A191","0",83
"84","1",24,"A32","A410",1755,"1","5",4,"A92","A103",4,"A121",58,"A143","A152",1,"A172","1","A192","0",84
"85","1",10,"A32","A43",2315,"1","5",3,"A93","A101",4,"A121",52,"A143","A152",1,"A172","1","A191","0",85
"86","4",12,"A34","A49",1412,"1","3",4,"A92","A103",2,"A121",29,"A143","A152",2,"A174","1","A192","0",86
"87","2",18,"A34","A42",1295,"1","2",4,"A92","A101",1,"A122",27,"A143","A152",2,"A173","1","A191","0",87
"88","2",36,"A32","A46",12612,"2","3",1,"A93","A101",4,"A124",47,"A143","A153",1,"A173","2","A192","1",88
"89","1",18,"A32","A40",2249,"2","4",4,"A93","A101",3,"A123",30,"A143","A152",1,"A174","2","A192","0",89
"90","1",12,"A30","A45",1108,"1","4",4,"A93","A101",3,"A121",28,"A143","A152",2,"A173","1","A191","1",90
"91","4",12,"A34","A43",618,"1","5",4,"A93","A101",4,"A121",56,"A143","A152",1,"A173","1","A191","0",91
"92","1",12,"A34","A41",1409,"1","5",4,"A93","A101",3,"A121",54,"A143","A152",1,"A173","1","A191","0",92
"93","4",12,"A34","A43",797,"0","5",4,"A92","A101",3,"A122",33,"A141","A152",1,"A172","2","A191","1",93
"94","3",24,"A34","A42",3617,"0","5",4,"A93","A102",4,"A124",20,"A143","A151",2,"A173","1","A191","0",94
"95","2",12,"A32","A40",1318,"4","5",4,"A93","A101",4,"A121",54,"A143","A152",1,"A173","1","A192","0",95
